id;message;association_to_offender;time;case_total_reports;allied_report_count;enemy_report_count;most_common_report_reason;chatlog_id;champion_name;label
0;gold 2 zed;enemy;00:00:21;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
1;IIII;enemy;00:00:27;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
2;nice premade lie :o;enemy;00:00:27;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
3;ISI;enemy;00:00:28;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
4;smiteless pls;enemy;00:00:43;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
5;smiteless pls;enemy;00:00:57;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
6;riven?;enemy;00:01:10;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
7;report top no help jnh;enemy;00:01:53;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
8;warded there;enemy;00:08:12;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
9;K;enemy;00:08:17;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
10;thx;ally;00:08:53;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
11;nice;enemy;00:09:57;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
12;udyr top;enemy;00:11:09;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
13;riven you know what a ward is about?;enemy;00:11:48;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
14;dnt us see it?;enemy;00:11:59;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
15;muss weg;enemy;00:12:04;8;0;2;Negative Attitude;1;Udyr;2
16;mutter stresst;enemy;00:12:09;8;0;2;Negative Attitude;1;Udyr;2
17;CAMP MORE PLEASE;enemy;00:13:35;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
18;bait;offender;00:14:20;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
19;top no flash;ally;00:19:49;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
20;im comming for you riven;ally;00:25:40;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
21;u want 1v1 ?;enemy;00:26:05;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
22;pfft;ally;00:26:12;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
23;ok lets continue camping me:)+;enemy;00:28:33;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
24;focus Zed always!;ally;00:30:44;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
25;and stop feed him!;ally;00:30:58;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;1
26;Karma reported;offender;00:31:16;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
27;Unskilled;offender;00:31:19;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;1
28;No ranked for u my friend;offender;00:31:25;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
29;mimimi;ally;00:31:31;8.0;0.0;2.0;Negative Attitude;1.0;Janna;0
30;for what ? he has 2 kill in laning phase from me;ally;00:31:40;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
31;lol;enemy;00:31:55;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
32;Didnt i say unskilled player?;offender;00:32:06;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
33;and why you talk about skill you play Udyr;ally;00:32:19;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
34;report for unskilled player is useless;ally;00:32:26;8.0;0.0;2.0;Negative Attitude;1.0;Ezreal;0
35;jinx;enemy;00:32:38;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
36;Ezreal reported;ally;00:32:53;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
37;mother fucking noob;ally;00:32:57;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;1
38;thx <3;ally;00:32:58;8.0;0.0;2.0;Negative Attitude;1.0;Ezreal;0
39;dat zed so feeded :O;ally;00:35:34;8.0;0.0;2.0;Negative Attitude;1.0;Ezreal;0
40;report Karma for feeding Zed!;ally;00:37:56;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
41;they got Baron;ally;00:41:23;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
42;guardian + zilian ult to op ^^;ally;00:42:23;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
43;i ward abron;enemy;00:46:47;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
44;omg;enemy;00:52:23;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
45;you has my ult ..;enemy;00:52:26;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
46;you should camp;enemy;00:54:34;8.0;0.0;2.0;Negative Attitude;1.0;Zed;0
47;lemme --- g;enemy;00:56:38;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
48;ruf ma an;enemy;00:56:45;8;0;2;Negative Attitude;1;Zilean;2
49;ggwp;ally;00:59:20;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
50;GG;enemy;00:59:22;8.0;0.0;2.0;Negative Attitude;1.0;Jinx;0
51;Gg;enemy;00:59:24;8.0;0.0;2.0;Negative Attitude;1.0;Riven;0
52;gg;offender;00:59:25;8.0;0.0;2.0;Negative Attitude;1.0;Udyr;0
53;gg;enemy;00:59:26;8.0;0.0;2.0;Negative Attitude;1.0;Zilean;0
