id;champion_name;association_to_offender;message_count;first_time;last_time;label;message;first_id;last_id;chatlog_id
0;Ezreal;ally;3;00:32:26;00:35:34;0;report for unskilled player is useless thx <3 dat zed so feeded :O;0;0;1
0;Janna;ally;1;00:31:31;00:31:31;0;mimimi;0;0;1
0;Jinx;ally;9;00:25:40;00:59:20;1;im comming for you riven pfft focus Zed always! and stop feed him! Ezreal reported mother fucking noob report Karma for feeding Zed! they got Baron ggwp;0;0;1
0;Jinx;enemy;1;00:59:22;00:59:22;0;GG;0;0;1
0;Karma;ally;6;00:08:53;00:59:26;0;thx top no flash for what ? he has 2 kill in laning phase from me and why you talk about skill you play Udyr guardian + zilian ult to op ^^ gg;0;0;1
0;Riven;enemy;10;00:00:27;00:59:24;0;IIII ISI K udyr top dnt us see it? CAMP MORE PLEASE u want 1v1 ? ok lets continue camping me:)+ lemme --- g Gg;0;0;1
0;Udyr;enemy;9;00:00:21;00:11:48;0;gold 2 zed nice premade lie :o smiteless pls smiteless pls riven? report top no help jnh warded there nice riven you know what a ward is about?;0;0;1
0;Udyr;offender;6;00:14:20;00:59:25;1;bait Karma reported Unskilled No ranked for u my friend Didnt i say unskilled player? gg;0;0;1
0;Zed;enemy;1;00:54:34;00:54:34;0;you should camp;0;0;1
0;Zilean;enemy;6;00:31:55;00:59:26;0;lol jinx i ward abron omg you has my ult .. gg;0;0;1
1;Dr. Mundo;ally;28;00:00:27;00:30:02;1;talon jungle lol gimme blue i invade his red leo ward my blue pls thats why i want you to ward it ouh i mean red FUCK FUCKING FUCK FUCK sorry mate gj lol yea but it took you too long to join us... come on renek ... we actually fucked everything up gj i come bot next haha yea we need to gg wp g j cause i wanted drake? lucian :D na u suck lucain gg wp;1;1;10
1;Jinx;enemy;28;00:01:14;00:26:28;1;w wow much game sense rammus is such a slut cant say no waar box??? ROFL HAHAHAHAHA get fked has no farm doe can u stop with the random taxerino also can i get red? heb sum summoners black guy niet pz so mad black guy no flash again zi ziggs? lol wow als k had geshopt was kill im not fed uGANDA whyd u take red lol;1;1;10
1;Leona;ally;33;00:00:34;00:24:12;0;"strange blue is bot lOL ILL u said ""i start blue"" np bro ill ward ur blue not so fast lucian w8 trresh 1 trinket talon bot talon golem ramuus mid n1 xD sick mmh we were too weak bad idea but nvm ss 2 talon was top ? ok talon bot ^^^' some prob hard focus jinx mmh we should stay on turret I dont give 4 kills not my fault she ult and get 2 free kils then 4 kills not my fault whe cant do more here ! tss just hard focus jinx";1;1;10
1;Lucian;ally;25;00:04:44;00:28:19;1;surekill bot that distance is op wouldnt be different 4 bot ... yy leona you are so bad.you lost this lane gg this leona does nothing.not even to protect adc she can at least you have leona.she's good for you wtf are you doing god llets destroy turrets talon is on me leona carried np honor leona for carrying you why dont uu wait for leona mundo? and that way youlost h this tf? you have been doing that all game.start tf's or chases without the team stop doing that CARE TALON and again you did this all game dude.thats why we loose you screwd thsi sorry now dont blame me when you screw this report lux and mundo for flame pleaseÃÂ¤;1;1;10
1;Lux;offender;24;00:01:06;00:28:27;1;baron start baron guys timing blue? pro sure hahh LAGGG #NAME? IM LAG how renekton is 0 2 tell me why bb bot lane noob this lucian go play barbie no i blame you qq;1;1;10
1;Rammus;enemy;19;00:01:44;00:29:13;1;ok 0 :D ok :DDD ramuz need killz not frm hax again, mundo wins top PFF need b no pots nvm wow y :D ok, don't focus rene :D certainly not Is that Dutch? run ,you fools what a shit* game;1;1;10
1;Renekton;ally;21;00:03:26;00:29:32;1;cmon dude s1 i saw it last time rammus useless he just kill rest loose nop what.?! no u loose top..^^ ur laning is misarable wp bot.!!! xD lets do some teamplay YO just report them pls they lost alone. wasnt my loose isnt* just a joke lets play since we loose till* the feeders, want to report..xD without jinx rammus had lost it i think..xD;1;1;10
1;Talon;enemy;13;00:01:03;00:29:38;0;now that im thinking i shoulda brought elise jungle always took my blue .. dont die rammus u have db lantern me gj nop oops swag low swag risky i also have lag, young sir swag;1;1;10
1;Thresh;enemy;17;00:01:11;00:27:41;0;rly LOL lol this rammus teamtwerk ik 0 box 50 kheb ignite LOL jukerino 70 hp lol nub need jinx ik had zelfs nog talisman im bad why do i die always;1;1;10
1;Ziggs;enemy;6;00:13:45;00:29:15;1;nice :D :D boom shakalaka!!! fucking scumbags blocked the lantern fou im playing with --- ms  oh god xD;1;1;10
2;Brand;ally;12;00:12:29;00:39:56;1;ty janna u really did help me alot when u ganked u came and stood there when elice killed me I shall report u for assisting enemy team and janna has 3/5 and only 6 farm what a noob worth got drake are u on any kind of drugs at the moment? janna muted and shitted on gg;2;2;100
2;Draven;ally;3;00:01:17;00:37:32;0;brand care with bliz ss lol;2;2;100
2;Elise;enemy;1;00:39:30;00:39:30;0;gg;2;2;100
2;Janna;offender;24;00:09:47;00:39:57;1;omg JUJUJUJU omg brand just uninstall lol yes is my fault u r totally retard and uskilled 03.Aug just uninstall lol dude play another shit my god brand hahahahahah flashed hahahahahha brand u r tarded due dude your mom and dad r brothers hahahahahaha well done team just leave the match pro premade hahahahahha u r so funny guys lulu is good the rest omg O M G gg wp;2;2;100
2;Lulu;ally;5;00:09:35;00:39:55;0;good gank brother scurbz yeah luck that you are alive janna muted/reported gege;2;2;100
2;Nocturne;ally;10;00:31:30;00:37:38;1;THIS DRAVEN --- did you know you can actually catch you axes draven janna muted/reported FARM MID DRAVEN GJ PLAY MORE ADC SERIOUSLY YOU ARE SO GOOD muted btw;2;2;100
2;Twisted Fate;enemy;18;00:05:58;00:39:55;0;re SS BOT DAMN ty elise .-. wake up elise noc ganked about 10 times mid i WON brand now...no 3 kills for him thanks to noc this is luck :) me? please def me and vayne blitz and elise bg;2;2;100
2;Vayne;enemy;1;00:28:41;00:28:41;0;nocturne on your back;2;2;100
2;Yasuo;enemy;4;00:14:36;00:39:56;0;nice walking jungler try to gank too elise reported pls gg;2;2;100
3;Amumu;enemy;1;00:08:11;00:08:11;0;thx;3;3;1000
3;Annie;ally;1;00:02:32;00:02:32;0;D:;3;3;1000
3;Cho'Gath;enemy;1;00:08:34;00:08:34;0;dr;3;3;1000
3;Riven;ally;7;00:02:16;00:18:42;0;reprt reprot nice ult mmu negerstun ggwp ezy lol wp exy;3;3;1000
3;Sejuani;enemy;1;00:17:00;00:17:00;0;no!!;3;3;1000
3;Xin Zhao;offender;16;00:02:16;00:18:36;1;gay trund noob team stop being pussy's and camp go rambo gg FEED THE PORO GUYS GG This heimer.. Wonder if our heimer every used his ult Report Heimerdinger dat flash into gath's stunm report dinger LOL WIN WICKED SICK JUST GO;3;3;1000
4;Annie;enemy;5;00:04:11;00:31:44;0;lol .. go on her :P xD i was fighting against a monster;4;4;10000
4;Brand;ally;34;00:00:24;00:33:06;1;who is supp ? okok no troll please he 's afk maybe yes usually mid don't help the blue no nice go suurrend surrend ty and report shaco 3 on mid it's loose u help bot stop ur jungler noob warded nice noob adc noob top noob jungler Nice annie u win bacause of ur team good varus 10 cs 1 cs/min varus 1 v5 xD gj riven ? ahhahaha report this team ty gg Wp BRONZE 50 smurf u kownw? known? u u don't have it's sure nice kah sic hahaha under the tower with --- HO U CAN4T KILL? hp* just 1/4 u are so good... kahsix useless nice kahsix look;4;4;10000
4;Ezreal;enemy;6;00:03:38;00:09:57;0;np np u can carry o0mg omg wtf leona why ?;4;4;10000
4;Kha'Zix;offender;54;00:00:09;00:33:10;1;so smart.... gl hf shaco is he lagged probs didnt join game brand help blue? maybe'? i need it smiteless usually he does lol and what is usally tnx varus warded gj dat olaf nice no mana YEAH we know you think that ll ahhh raging kid can't even speak proper english ah nice bf sword ll just ignore the twat brand complaining about the whole team except himself haha kid bronze 3 gj riven just ignore :D there is probably something wrong in his head becuz i really don't care i died there HAHAHHAHAHA no just not oh no a report im scared so obvious lolol bronze 50? said the bronze 3 lolol SURE still bad ah getting nercous? HAHA NOOOB lolz sic? can4t? ur getting nervous kid chill out take yah pills gj ah gtfo XD slowz gj gj gj xD ofc xD funny how they say win hi gj gg wp :D;4;4;10000
4;Leona;enemy;10;00:02:15;00:24:49;0;ss just farm ez :)+ fck sry sry  ez :( sy sry :D not so greedy now as team pls ALL MID pls;4;4;10000
4;Olaf;enemy;5;00:00:26;00:33:07;0;gl 6 hf to you aswell honor shaco pls cuz we all suck and he made us win hi xD OP Splitpush;4;4;10000
4;Riven;ally;6;00:00:30;00:12:47;0;shcao brand help ? stun was not rdy sry dont flame its only game not ur life;4;4;10000
4;Tryndamere;enemy;5;00:00:21;00:31:33;0;pls smitles smiteless ty annie xD;4;4;10000
4;Varus;ally;5;00:02:13;00:33:12;1;np gj fuck barrier stfu and play yourself solo bot rpeort shako;4;4;10000
5;Aatrox;enemy;9;00:00:47;00:32:41;0;my red!!! warwick help pls all mid !! ggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg all mid!!!! hacker kata and phanteon report for hacking gg wp;5;5;10001
5;Ashe;ally;15;00:00:19;00:27:22;1;where are you from? ty :) sry omw :) danke gleichfalls :) xDDDD trololol gj :D gj sry for ks hahahaha nice :3 pantheon wtf? fu not funny. thats sad.;5;5;10001
5;Darius;enemy;3;00:19:03;00:32:41;0;gg thx aatrox gg;5;5;10001
5;Ezreal;offender;15;00:01:04;00:26:56;0;ger nice skin fuuck teemo i hate this champ adc? warwick gj ashe faioill xd GG riven 0-11 pro, fial wooow;5;5;10001
5;Katarina;ally;2;00:01:14;00:27:02;0;y yo lol;5;5;10001
5;Riven;ally;1;00:01:08;00:01:08;0;Spain;5;5;10001
5;Talon;enemy;2;00:24:34;00:26:37;0;ks teemo mid;5;5;10001
5;Warwick;enemy;1;00:32:43;00:32:43;0;gg;5;5;10001
6;Diana;offender;42;00:02:10;00:19:16;1;lol gg lost ignite aswell i didnt flash gj wht is happening bot? lee counters wukong, still loosing top? this lee sucks OMFG SO NOOBS WORST TEAM EY lee sin counter wukong, loosing hard botlane sucks, this jungler is terrible gg so bad omfg so bad so bad so bad so fed wtf have u done look vayn 6 kills gg haha so fed xin. gg top and bot im the only one who win my lane a lvl 6 evelynn gg LOOK AT VAYNE so bad hahah so bd im ak worst team ever seen this vayne. u belong in bronze 5 look vayne hahaha bad i had 1-0 until u fed i won my lane then i took a look botlane HAHAHA haha vayne so bad;6;6;10002
6;Evelynn;ally;18;00:05:36;00:19:44;1;its called miniontax' TM have fun botlane diana vayne complains to much stay in school i cant kill him stfu diana so bad this diana flames and leaves 1-5 diana talks shiit and then you opned your  mouth and started feeding gj diana reported negative attitude to fed gg nice attackspeed vayne xD adc you know what that means end;6;6;10002
6;Katarina;enemy;20;00:03:18;00:20:13;0;gj gj best flash ever XD i mean ur flash ~_~ oh didnt u? LOL ty gj ss gj yep nop gj wp lol vayne score XD u can win XD gg wp XD;6;6;10002
6;Nidalee;ally;3;00:14:09;00:18:32;1;nboo diana stop chatting u are doing 1/67 1/6*;6;6;10002
6;Urgot;enemy;4;00:11:54;00:13:51;0;XD best combo eu dragon OMG XIN MOR e plz;6;6;10002
6;Vayne;ally;21;00:08:13;00:20:16;1;it's okay lol more ulti eve wtf gg surrend gg why mid is bot pro top pro mid pro jungler diana noob why is kata bot pro dian go and report surrend att pro no diana reported /surrender all report diana ty report diana negative;6;6;10002
6;Wukong;enemy;3;00:04:57;00:20:19;0;gj :) ss top gg wp;6;6;10002
6;Xin Zhao;enemy;18;00:00:41;00:19:59;1;cover smiteless blue pls ty gj push push puish puish brb damn u are bait by kata U are  bad sry xD Outplayed damn DARAPE huehuehuehue llulz;6;6;10002
6;Zyra;enemy;1;00:20:13;00:20:13;0;gg;6;6;10002
7;Amumu;enemy;17;00:03:26;00:46:44;1;lol -.- why he is at my jungle gj lol sorry what? riven not my faul! ashe donst speak loock your farm who had 4 kills serie? NICE wait yes BIG LAG !!!! FK RIOT -.- FUCKING ASHE GO HOME AND PLAY NROMAL NOOB xD baby :* gj garen!!!;7;7;10003
7;Ashe;enemy;45;00:03:57;00:48:55;1;damn fail crap need some ganks bot damn could have a kill stop taking my farm and set wards omg... bot is feed you don't know what a supp needs to do... wtf udyr is feed lol team is gig fail big* lol lux took it ye same in bot I said it already lux took my farm lol you saved me :p sry if I had farm I couldn't feed this is just the worst... lol I only get assists damn :( let me farm.... you are supp... you don't even too exhaust did you? took* wtf fail ye same here what? ok ty nida :D sry too fast =( yep :p defend pls lost;7;7;10003
