id;champion_name;association_to_offender;message_count;first_time;last_time;label;message;first_id;last_id;chatlog_id
0;Udyr;enemy;1;00:00:21;00:00:21;0;gold 2 zed;0;0;1
1;Riven;enemy;1;00:00:27;00:00:27;0;IIII;1;1;1
2;Udyr;enemy;1;00:00:27;00:00:27;0;nice premade lie :o;2;2;1
3;Riven;enemy;1;00:00:28;00:00:28;0;ISI;3;3;1
4;Udyr;enemy;5;00:00:43;00:08:12;0;smiteless pls smiteless pls riven? report top no help jnh warded there;4;8;1
9;Riven;enemy;1;00:08:17;00:08:17;0;K;9;9;1
10;Karma;ally;1;00:08:53;00:08:53;0;thx;10;10;1
11;Udyr;enemy;1;00:09:57;00:09:57;0;nice;11;11;1
12;Riven;enemy;1;00:11:09;00:11:09;0;udyr top;12;12;1
13;Udyr;enemy;1;00:11:48;00:11:48;0;riven you know what a ward is about?;13;13;1
14;Riven;enemy;2;00:11:59;00:13:35;0;dnt us see it? CAMP MORE PLEASE;14;15;1
16;Udyr;offender;1;00:14:20;00:14:20;0;bait;16;16;1
17;Karma;ally;1;00:19:49;00:19:49;0;top no flash;17;17;1
18;Jinx;ally;1;00:25:40;00:25:40;0;im comming for you riven;18;18;1
19;Riven;enemy;1;00:26:05;00:26:05;0;u want 1v1 ?;19;19;1
20;Jinx;ally;1;00:26:12;00:26:12;0;pfft;20;20;1
21;Riven;enemy;1;00:28:33;00:28:33;0;ok lets continue camping me:)+;21;21;1
22;Jinx;ally;2;00:30:44;00:30:58;1;focus Zed always! and stop feed him!;22;23;1
24;Udyr;offender;3;00:31:16;00:31:25;1;Karma reported Unskilled No ranked for u my friend;24;26;1
27;Janna;ally;1;00:31:31;00:31:31;0;mimimi;27;27;1
28;Karma;ally;1;00:31:40;00:31:40;0;for what ? he has 2 kill in laning phase from me;28;28;1
29;Zilean;enemy;1;00:31:55;00:31:55;0;lol;29;29;1
30;Udyr;offender;1;00:32:06;00:32:06;0;Didnt i say unskilled player?;30;30;1
31;Karma;ally;1;00:32:19;00:32:19;0;and why you talk about skill you play Udyr;31;31;1
32;Ezreal;ally;1;00:32:26;00:32:26;0;report for unskilled player is useless;32;32;1
33;Zilean;enemy;1;00:32:38;00:32:38;0;jinx;33;33;1
34;Jinx;ally;2;00:32:53;00:32:57;1;Ezreal reported mother fucking noob;34;35;1
36;Ezreal;ally;2;00:32:58;00:35:34;0;thx <3 dat zed so feeded :O;36;37;1
38;Jinx;ally;2;00:37:56;00:41:23;0;report Karma for feeding Zed! they got Baron;38;39;1
40;Karma;ally;1;00:42:23;00:42:23;0;guardian + zilian ult to op ^^;40;40;1
41;Zilean;enemy;3;00:46:47;00:52:26;0;i ward abron omg you has my ult ..;41;43;1
44;Zed;enemy;1;00:54:34;00:54:34;0;you should camp;44;44;1
45;Riven;enemy;1;00:56:38;00:56:38;0;lemme --- g;45;45;1
46;Jinx;ally;1;00:59:20;00:59:20;0;ggwp;46;46;1
47;Jinx;enemy;1;00:59:22;00:59:22;0;GG;47;47;1
48;Riven;enemy;1;00:59:24;00:59:24;0;Gg;48;48;1
49;Udyr;offender;1;00:59:25;00:59:25;0;gg;49;49;1
50;Zilean;enemy;1;00:59:26;00:59:26;0;gg;50;50;1
51;Karma;ally;1;00:59:26;00:59:26;0;gg;51;51;1
52;Dr. Mundo;ally;3;00:00:27;00:00:34;0;talon jungle lol gimme blue i invade his red;52;54;10
55;Leona;ally;1;00:00:34;00:00:34;0;strange;55;55;10
56;Dr. Mundo;ally;1;00:00:44;00:00:44;0;leo ward my blue pls;56;56;10
57;Leona;ally;2;00:00:54;00:00:56;0;blue is bot lOL;57;58;10
59;Talon;enemy;1;00:01:03;00:01:03;0;now that im thinking i shoulda brought elise jungle;59;59;10
60;Leona;ally;1;00:01:06;00:01:06;0;ILL;60;60;10
61;Lux;offender;1;00:01:06;00:01:06;0;baron;61;61;10
62;Dr. Mundo;ally;1;00:01:10;00:01:10;0;thats why i want you to ward it;62;62;10
63;Thresh;enemy;1;00:01:11;00:01:11;0;rly;63;63;10
64;Jinx;enemy;2;00:01:14;00:01:15;0;w wow;64;65;10
66;Leona;ally;1;00:01:18;00:01:18;0;"u said ""i start blue""";66;66;10
67;Jinx;enemy;1;00:01:20;00:01:20;0;much game sense;67;67;10
68;Lux;offender;1;00:01:22;00:01:22;0;start;68;68;10
69;Dr. Mundo;ally;1;00:01:22;00:01:22;0;ouh;69;69;10
70;Lux;offender;1;00:01:24;00:01:24;0;baron;70;70;10
71;Dr. Mundo;ally;1;00:01:24;00:01:24;0;i mean red;71;71;10
72;Lux;offender;1;00:01:24;00:01:24;0;guys;72;72;10
73;Leona;ally;1;00:01:25;00:01:25;0;np bro ill ward ur blue;73;73;10
74;Talon;enemy;1;00:01:26;00:01:26;0;always;74;74;10
75;Rammus;enemy;2;00:01:44;00:01:46;0;ok 0;75;76;10
77;Leona;ally;2;00:02:00;00:02:02;0;not so fast lucian w8;77;78;10
79;Jinx;enemy;1;00:02:03;00:02:03;1;rammus is such a slut;79;79;10
80;Rammus;enemy;1;00:02:07;00:02:07;0;:D;80;80;10
81;Jinx;enemy;1;00:02:07;00:02:07;0;cant say no;81;81;10
82;Leona;ally;1;00:02:21;00:02:21;0;trresh 1 trinket;82;82;10
83;Dr. Mundo;ally;1;00:03:18;00:03:18;1;FUCK;83;83;10
84;Renekton;ally;1;00:03:26;00:03:26;0;cmon dude;84;84;10
85;Dr. Mundo;ally;1;00:03:28;00:03:28;1;FUCKING FUCK FUCK;85;85;10
86;Talon;enemy;2;00:03:29;00:03:59;0;took my blue .. dont die rammus u have db;86;87;10
88;Rammus;enemy;1;00:04:03;00:04:03;0;ok;88;88;10
89;Lucian;ally;1;00:04:44;00:04:44;0;surekill bot;89;89;10
90;Renekton;ally;1;00:05:36;00:05:36;0;s1 i saw it last time;90;90;10
91;Leona;ally;2;00:06:24;00:06:36;0;talon bot talon golem;91;92;10
93;Dr. Mundo;ally;1;00:06:59;00:06:59;0;sorry mate;93;93;10
94;Leona;ally;1;00:07:42;00:07:42;0;ramuus mid;94;94;10
95;Lux;offender;1;00:08:21;00:08:21;0;timing blue?;95;95;10
96;Dr. Mundo;ally;1;00:09:19;00:09:19;0;gj;96;96;10
97;Leona;ally;1;00:09:43;00:09:43;0;n1;97;97;10
98;Jinx;enemy;1;00:09:45;00:09:45;0;waar box???;98;98;10
99;Lux;offender;1;00:09:47;00:09:47;0;pro;99;99;10
100;Leona;ally;1;00:10:09;00:10:09;0;xD;100;100;10
101;Thresh;enemy;1;00:10:10;00:10:10;0;LOL;101;101;10
102;Lux;offender;1;00:10:10;00:10:10;0;sure;102;102;10
103;Leona;ally;1;00:10:11;00:10:11;0;sick;103;103;10
104;Jinx;enemy;1;00:10:11;00:10:11;0;ROFL;104;104;10
105;Lux;offender;1;00:10:11;00:10:11;0;hahh;105;105;10
106;Dr. Mundo;ally;1;00:10:12;00:10:12;0;lol;106;106;10
107;Jinx;enemy;1;00:10:15;00:10:15;0;HAHAHAHAHA;107;107;10
108;Lucian;ally;1;00:10:23;00:10:23;0;that distance is op;108;108;10
109;Jinx;enemy;1;00:10:23;00:10:23;1;get fked;109;109;10
110;Dr. Mundo;ally;2;00:10:30;00:10:36;0;yea but it took you too long to join us...;110;111;10
112;Lucian;ally;1;00:10:45;00:10:45;0;wouldnt be different;112;112;10
113;Leona;ally;1;00:10:54;00:10:54;0;mmh we were too weak;113;113;10
114;Thresh;enemy;1;00:10:55;00:10:55;0;lol this rammus;114;114;10
115;Leona;ally;1;00:10:57;00:10:57;0;bad idea but nvm;115;115;10
116;Jinx;enemy;1;00:11:04;00:11:04;0;has no farm doe;116;116;10
117;Rammus;enemy;1;00:11:10;00:11:10;0;:DDD;117;117;10
118;Renekton;ally;2;00:11:15;00:11:24;1;rammus useless he just kill rest loose;118;119;10
120;Leona;ally;1;00:11:29;00:11:29;0;ss 2;120;120;10
121;Rammus;enemy;1;00:11:35;00:11:35;0;ramuz need killz not frm;121;121;10
122;Leona;ally;1;00:11:36;00:11:36;0;talon was top ?;122;122;10
123;Renekton;ally;1;00:11:40;00:11:40;0;nop;123;123;10
124;Leona;ally;1;00:11:46;00:11:46;0;ok;124;124;10
125;Lux;offender;2;00:12:16;00:12:18;0;LAGGG #NAME?;125;126;10
127;Talon;enemy;1;00:12:25;00:12:25;0;lantern me;127;127;10
128;Dr. Mundo;ally;1;00:12:25;00:12:25;0;come on renek;128;128;10
129;Lux;offender;1;00:12:30;00:12:30;0;IM LAG;129;129;10
130;Leona;ally;1;00:12:42;00:12:42;0;talon bot;130;130;10
131;Lucian;ally;1;00:12:43;00:12:43;0;4 bot;131;131;10
132;Dr. Mundo;ally;1;00:13:19;00:13:19;0;...;132;132;10
133;Lucian;ally;1;00:13:21;00:13:21;0;...;133;133;10
134;Leona;ally;1;00:13:40;00:13:40;0;^^^';134;134;10
135;Talon;enemy;1;00:13:41;00:13:41;0;gj;135;135;10
136;Leona;ally;1;00:13:44;00:13:44;0;some prob;136;136;10
137;Ziggs;enemy;1;00:13:45;00:13:45;0;nice :D;137;137;10
138;Jinx;enemy;3;00:13:47;00:13:54;0;can u stop with the random taxerino also can i get red?;138;140;10
141;Dr. Mundo;ally;1;00:13:56;00:13:56;0;we actually fucked everything up;141;141;10
142;Talon;enemy;1;00:13:58;00:13:58;0;nop;142;142;10
143;Lucian;ally;1;00:14:00;00:14:00;0;yy;143;143;10
144;Leona;ally;1;00:14:08;00:14:08;0;hard focus jinx;144;144;10
145;Lux;offender;2;00:14:14;00:14:15;0;how renekton is 0 2;145;146;10
147;Thresh;enemy;1;00:14:16;00:14:16;0;teamtwerk;147;147;10
148;Dr. Mundo;ally;1;00:14:20;00:14:20;0;gj;148;148;10
149;Renekton;ally;1;00:14:23;00:14:23;0;what.?!;149;149;10
150;Ziggs;enemy;1;00:14:24;00:14:24;0;:D;150;150;10
151;Rammus;enemy;1;00:14:33;00:14:33;0;hax;151;151;10
152;Jinx;enemy;3;00:14:33;00:14:38;1;heb sum summoners black guy niet;152;154;10
155;Thresh;enemy;2;00:14:39;00:14:40;0;ik 0 box 50;155;156;10
157;Rammus;enemy;1;00:14:57;00:14:57;0;again, mundo wins top;157;157;10
158;Renekton;ally;2;00:15:12;00:15:18;0;no u loose top..^^ ur laning is misarable;158;159;10
160;Rammus;enemy;1;00:15:28;00:15:28;0;PFF;160;160;10
161;Leona;ally;2;00:15:43;00:15:47;0;mmh we should stay on turret;161;162;10
163;Rammus;enemy;2;00:16:04;00:16:06;0;need b no pots;163;164;10
165;Thresh;enemy;1;00:16:09;00:16:09;0;kheb ignite;165;165;10
166;Lucian;ally;1;00:16:29;00:16:29;1;leona you are so bad.you lost this lane gg;166;166;10
167;Renekton;ally;1;00:16:29;00:16:29;0;wp bot.!!!;167;167;10
168;Dr. Mundo;ally;1;00:16:38;00:16:38;0;i come bot next;168;168;10
169;Leona;ally;3;00:16:40;00:16:50;0;I dont give 4 kills not my fault she ult and get 2 free kils;169;171;10
172;Lucian;ally;1;00:16:53;00:16:53;0;this leona does nothing.not even to protect adc she can;172;172;10
173;Leona;ally;2;00:16:53;00:16:58;0;then 4 kills not my fault whe cant do more here !;173;174;10
175;Renekton;ally;1;00:17:00;00:17:00;0;xD;175;175;10
176;Rammus;enemy;1;00:17:08;00:17:08;0;nvm;176;176;10
