threshold,acc,prec,rec,f1,tn,fp,fn,tp
0.5,0.957495881383855,0.8106995884773662,0.7035714285714286,0.7533460803059273,2709,46,83,197
0.51,0.957825370675453,0.8140495867768595,0.7035714285714286,0.7547892720306514,2710,45,83,197
0.52,0.957825370675453,0.819327731092437,0.6964285714285714,0.752895752895753,2712,43,85,195
0.53,0.9581548599670511,0.825531914893617,0.6928571428571428,0.7533980582524272,2714,41,86,194
0.54,0.9594728171334431,0.8398268398268398,0.6928571428571428,0.7592954990215264,2718,37,86,194
0.55,0.9598023064250412,0.8464912280701754,0.6892857142857143,0.7598425196850394,2720,35,87,193
0.56,0.9598023064250412,0.8464912280701754,0.6892857142857143,0.7598425196850394,2720,35,87,193
0.5700000000000001,0.9598023064250412,0.8495575221238938,0.6857142857142857,0.758893280632411,2721,34,88,192
0.58,0.9604612850082372,0.8571428571428571,0.6857142857142857,0.7619047619047619,2723,32,88,192
0.59,0.9604612850082372,0.8571428571428571,0.6857142857142857,0.7619047619047619,2723,32,88,192
0.6,0.9604612850082372,0.8571428571428571,0.6857142857142857,0.7619047619047619,2723,32,88,192
0.61,0.9601317957166392,0.8597285067873304,0.6785714285714286,0.7584830339321357,2724,31,90,190
0.62,0.9591433278418452,0.8577981651376146,0.6678571428571428,0.751004016064257,2724,31,93,187
0.63,0.9594728171334431,0.8617511520737328,0.6678571428571428,0.7525150905432596,2725,30,93,187
0.64,0.9591433278418452,0.8611111111111112,0.6642857142857143,0.75,2725,30,94,186
0.65,0.9598023064250412,0.8691588785046729,0.6642857142857143,0.7530364372469636,2727,28,94,186
0.66,0.9594728171334431,0.8685446009389671,0.6607142857142857,0.7505070993914807,2727,28,95,185
0.67,0.9594728171334431,0.8685446009389671,0.6607142857142857,0.7505070993914807,2727,28,95,185
0.6799999999999999,0.9604612850082372,0.8809523809523809,0.6607142857142857,0.7551020408163265,2730,25,95,185
0.69,0.9607907742998353,0.8851674641148325,0.6607142857142857,0.7566462167689162,2731,24,95,185
0.7,0.9607907742998353,0.8888888888888888,0.6571428571428571,0.75564681724846,2732,23,96,184
0.71,0.9611202635914333,0.8970588235294118,0.6535714285714286,0.756198347107438,2734,21,97,183
0.72,0.9614497528830313,0.9054726368159204,0.65,0.7567567567567568,2736,19,98,182
0.73,0.9614497528830313,0.9054726368159204,0.65,0.7567567567567568,2736,19,98,182
0.74,0.9611202635914333,0.905,0.6464285714285715,0.7541666666666667,2736,19,99,181
0.75,0.9604612850082372,0.9040404040404041,0.6392857142857142,0.7489539748953975,2736,19,101,179
0.76,0.9607907742998353,0.9086294416243654,0.6392857142857142,0.750524109014675,2737,18,101,179
0.77,0.9607907742998353,0.9086294416243654,0.6392857142857142,0.750524109014675,2737,18,101,179
0.78,0.9604612850082372,0.9123711340206185,0.6321428571428571,0.7468354430379747,2738,17,103,177
0.79,0.9601317957166392,0.9162303664921466,0.625,0.7430997876857749,2739,16,105,175
0.8,0.9594728171334431,0.9153439153439153,0.6178571428571429,0.7377398720682303,2739,16,107,173
0.81,0.9591433278418452,0.9148936170212766,0.6142857142857143,0.7350427350427351,2739,16,108,172
0.8200000000000001,0.9594728171334431,0.9197860962566845,0.6142857142857143,0.7366167023554604,2740,15,108,172
0.8300000000000001,0.9591433278418452,0.9193548387096774,0.6107142857142858,0.7339055793991416,2740,15,109,171
0.8400000000000001,0.9598023064250412,0.9293478260869565,0.6107142857142858,0.7370689655172413,2742,13,109,171
0.8500000000000001,0.9594728171334431,0.9289617486338798,0.6071428571428571,0.734341252699784,2742,13,110,170
0.86,0.9591433278418452,0.9333333333333333,0.6,0.7304347826086957,2743,12,112,168
0.87,0.9581548599670511,0.9322033898305084,0.5892857142857143,0.7221006564551422,2743,12,115,165
0.88,0.9581548599670511,0.9322033898305084,0.5892857142857143,0.7221006564551422,2743,12,115,165
0.89,0.9581548599670511,0.9473684210526315,0.5785714285714286,0.7184035476718403,2746,9,118,162
0.9,0.9581548599670511,0.9473684210526315,0.5785714285714286,0.7184035476718403,2746,9,118,162
